CCall_contig45_v2	chr8	95.711	886	28	7	1	885	37826524	37825648	0.0	1424	minus
CCall_contig302_v2	chr12	90.785	586	26	14	1124	1708	2093458	2092900	0.0	758	minus
CCall_contig302_v2	chr12	87.040	571	32	25	402	953	2097383	2096836	2.25e-172	610	minus
CCall_contig302_v2	chr12	97.143	175	5	0	950	1124	2093781	2093607	7.15e-78	296	minus
CCall_contig302_v2	chr5	86.243	189	19	5	1	183	46463082	46462895	2.07e-48	198	minus
CCall_contig309_v2	chr2	96.875	480	14	1	1364	1842	1589543	1590022	0.0	806	plus
CCall_contig309_v2	chr2	99.052	211	2	0	1156	1366	1589029	1589239	2.12e-103	381	plus
CCall_contig309_v2	chr2	99.005	201	2	0	698	898	1587504	1587704	7.67e-98	363	plus
CCall_contig309_v2	chr2	90.876	274	9	4	27	291	1583975	1584241	4.61e-95	353	plus
CCall_contig309_v2	chr2	96.682	211	7	0	947	1157	1588573	1588783	4.61e-95	353	plus
CCall_contig309_v2	chr2	97.041	169	5	0	288	456	1585846	1586014	1.71e-74	285	plus
CCall_contig309_v2	chr2	97.500	160	4	0	454	613	1586099	1586258	3.69e-71	274	plus
CCall_contig309_v2	chr2	88.177	203	24	0	1164	1366	1615995	1616197	1.04e-61	243	plus
CCall_contig309_v2	chr2	81.851	281	44	4	1364	1637	1603848	1604128	2.26e-58	231	plus
CCall_contig309_v2	chr2	89.714	175	17	1	288	462	1612993	1613166	1.36e-55	222	plus
CCall_contig309_v2	chr2	87.912	182	22	0	1364	1545	1616781	1616962	2.27e-53	215	plus
CCall_contig309_v2	chr2	88.824	170	19	0	287	456	1598687	1598856	1.06e-51	209	plus
CCall_contig309_v2	chr2	91.473	129	11	0	698	826	1601089	1601217	2.98e-42	178	plus
CCall_contig366_v2	chr6	97.425	466	12	0	690	1155	23681969	23681504	0.0	797	minus
CCall_contig366_v2	chr6	95.122	369	11	4	1	366	23686055	23685691	5.56e-162	575	minus
CCall_contig366_v2	chr6	98.611	144	2	0	367	510	23682928	23682785	8.22e-66	255	minus
