CCall_contig45_v2	chr8	885	95.711	886	28	7	1	885	37826524	37825648	0.0	1424	minus
CCall_contig309_v2	chr2	1881	96.875	480	14	1	1364	1842	1589543	1590022	0.0	806	plus
CCall_contig309_v2	chr2	1881	99.052	211	2	0	1156	1366	1589029	1589239	2.12e-103	381	plus
CCall_contig309_v2	chr2	1881	99.005	201	2	0	698	898	1587504	1587704	7.67e-98	363	plus
CCall_contig309_v2	chr2	1881	90.876	274	9	4	27	291	1583975	1584241	4.61e-95	353	plus
CCall_contig309_v2	chr2	1881	96.682	211	7	0	947	1157	1588573	1588783	4.61e-95	353	plus
CCall_contig309_v2	chr2	1881	97.041	169	5	0	288	456	1585846	1586014	1.71e-74	285	plus
CCall_contig309_v2	chr2	1881	97.500	160	4	0	454	613	1586099	1586258	3.69e-71	274	plus
CCall_contig309_v2	chr2	1881	88.177	203	24	0	1164	1366	1615995	1616197	1.04e-61	243	plus
CCall_contig309_v2	chr2	1881	81.851	281	44	4	1364	1637	1603848	1604128	2.26e-58	231	plus
CCall_contig309_v2	chr2	1881	89.714	175	17	1	288	462	1612993	1613166	1.36e-55	222	plus
CCall_contig309_v2	chr2	1881	87.912	182	22	0	1364	1545	1616781	1616962	2.27e-53	215	plus
CCall_contig309_v2	chr2	1881	88.824	170	19	0	287	456	1598687	1598856	1.06e-51	209	plus
CCall_contig309_v2	chr2	1881	91.473	129	11	0	698	826	1601089	1601217	2.98e-42	178	plus
CCall_contig309_v2	chr2	1881	95.506	89	4	0	612	700	1587330	1587418	1.09e-31	143	plus
CCall_contig309_v2	chr2	1881	98.148	54	1	0	896	949	1588121	1588174	3.09e-17	95.3	plus
CCall_contig309_v2	chr2	1881	98.077	52	1	0	1830	1881	1591613	1591664	3.99e-16	91.6	plus
CCall_contig366_v2	chr6	1167	97.425	466	12	0	690	1155	23681969	23681504	0.0	797	minus
CCall_contig366_v2	chr6	1167	95.122	369	11	4	1	366	23686055	23685691	5.56e-162	575	minus
CCall_contig366_v2	chr6	1167	98.611	144	2	0	367	510	23682928	23682785	8.22e-66	255	minus
CCall_contig366_v2	chr6	1167	98.400	125	2	0	508	632	23682704	23682580	3.00e-55	220	minus
CCall_contig366_v2	chr6	1167	100.000	66	0	0	628	693	23682346	23682281	8.70e-26	122	minus
CCall_contig426_v2	chr10	1836	96.547	695	20	3	4	697	20184739	20185430	0.0	1151	plus
CCall_contig426_v2	chr10	1836	95.887	462	18	1	1121	1581	20186191	20186652	0.0	750	plus
CCall_contig426_v2	chr10	1836	97.518	282	7	0	694	975	20185523	20185804	5.50e-134	483	plus
CCall_contig426_v2	chr10	1836	96.591	176	6	0	1661	1836	20187737	20187912	9.95e-77	292	plus
CCall_contig426_v2	chr10	1836	97.987	149	3	0	975	1123	20185941	20186089	2.81e-67	261	plus
CCall_contig426_v2	chr10	1836	95.789	95	2	2	1569	1663	20187549	20187641	1.76e-34	152	plus
CCall_contig483_v2	chr2	408	96.088	409	13	3	1	408	103349862	103350268	0.0	664	plus
CCall_contig705_v2	chr2	1125	97.881	519	9	2	124	640	101797447	101797965	0.0	896	plus
CCall_contig705_v2	chr2	1125	92.871	519	12	3	124	640	101641134	101640639	0.0	730	minus
CCall_contig705_v2	chr2	1125	79.502	522	52	16	119	640	101555515	101555981	2.77e-85	320	plus
CCall_contig705_v2	chr2	1125	88.571	245	16	4	127	369	101612801	101612567	2.81e-75	287	minus
CCall_contig705_v2	chr2	1125	96.689	151	5	0	856	1006	101798700	101798850	1.02e-64	252	plus
CCall_contig705_v2	chr2	1125	94.040	151	9	0	856	1006	101639907	101639757	4.80e-58	230	minus
CCall_contig705_v2	chr2	1125	98.413	126	2	0	1	126	101795405	101795530	8.03e-56	222	plus
CCall_contig705_v2	chr2	1125	97.619	126	3	0	1	126	101641607	101641482	3.74e-54	217	minus
CCall_contig705_v2	chr2	1125	90.066	151	13	2	856	1006	101405414	101405562	1.75e-47	195	plus
CCall_contig705_v2	chr2	1125	97.222	108	2	1	634	741	101798216	101798322	3.79e-44	183	plus
CCall_contig705_v2	chr2	1125	97.030	101	0	3	634	733	101640388	101640290	3.82e-39	167	minus
CCall_contig705_v2	chr2	1125	100.000	63	0	0	795	857	101640057	101639995	3.90e-24	117	minus
CCall_contig705_v2	chr2	1125	98.485	66	1	0	792	857	101798547	101798612	3.90e-24	117	plus
CCall_contig705_v2	chr2	1125	94.203	69	4	0	1	69	101784532	101784600	8.44e-21	106	plus
CCall_contig705_v2	chr2	1125	98.182	55	1	0	741	795	101640206	101640152	5.08e-18	97.1	minus
CCall_contig705_v2	chr2	1125	98.182	55	1	0	741	795	101798401	101798455	5.08e-18	97.1	plus
CCall_contig705_v2	chr2	1125	87.302	63	8	0	792	854	101785690	101785752	8.56e-11	73.1	plus
CCall_contig728_v2	chr12	2584	95.418	742	24	4	1841	2581	2159368	2160100	0.0	1179	plus
CCall_contig728_v2	chr12	2584	96.491	342	11	1	1127	1467	2155653	2155994	7.51e-159	566	plus
CCall_contig728_v2	chr12	2584	86.538	468	47	8	1848	2311	2171502	2171957	4.61e-141	507	plus
CCall_contig728_v2	chr12	2584	96.825	252	7	1	1461	1712	2156867	2157117	1.72e-115	422	plus
CCall_contig728_v2	chr12	2584	94.492	236	10	2	133	368	2145391	2145623	3.80e-97	361	plus
CCall_contig728_v2	chr12	2584	97.688	173	4	0	958	1130	2155362	2155534	3.02e-78	298	plus
